COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS
P7_10_4,"7.10 En los últimos tres meses, ¿ha utilizado el internet para… Otro medio de comunicación)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_10A,"7.10 En los últimos tres meses, ¿ha utilizado el internet para… Otro medio de comunicación)? Especifique",Varchar,100,[A-Z], 
P7_11_1,"7.11 En los últimos tres meses, ¿en Internet… leyó periódicos, revistas o libros?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_11_2,"7.11 En los últimos tres meses, ¿en Internet… vio películas, series, conciertos y otros audiovisuales de pago (Netflix, Clarovideo, Blim, OTT, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_11_3,"7.11 En los últimos tres meses, ¿en Internet… vio películas, series, conciertos y otros audiovisuales gratuitos (Youtube)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_11_4,"7.11 En los últimos tres meses, ¿en Internet… escuchó música gratis que no sea radio AM y FM (Spotify, Google music, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_11_5,"7.11 En los últimos tres meses, ¿en Internet… jugó en línea?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_11_6,"7.11 En los últimos tres meses, ¿en Internet… escucho contenidos de radio AM o FM?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_11_7,"7.11 En los últimos tres meses, ¿en Internet…accedió a TV en la web (canales abiertos por internet: Tv Azteca en vivo)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_11_8,"7.11 En los últimos tres meses, ¿en Internet… Otro tipo de entretenimiento?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_11A,"7.10 En los últimos tres meses, ¿en Internet… Otro tipo de entretenimiento? Especifique",Varchar,100,[A-Z], 
P7_12,"7.12 En los últimos tres meses, ¿usted ha creado o desarrollado sitios de Internet o blogs?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_13,"7.13 En los últimos tres meses, ¿ha usado redes sociales?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_1,7.14 ¿Qué redes sociales utiliza? Facebook,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_2,7.14 ¿Qué redes sociales utiliza? Twitter,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_3,7.14 ¿Qué redes sociales utiliza? Instagram,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_4,7.14 ¿Qué redes sociales utiliza? LinkedIn,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_5,7.14 ¿Qué redes sociales utiliza? Snapchat,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_6,7.14 ¿Qué redes sociales utiliza? Whatsapp,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_7,7.14 ¿Qué redes sociales utiliza? Youtube,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_8,7.14 ¿Qué redes sociales utiliza? Pinterest,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_9,7.14 ¿Qué redes sociales utiliza? Messenger,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_10,7.14 ¿Qué redes sociales utiliza? Tik Tok,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14_11,7.14 ¿Qué redes sociales utiliza? Otras redes,Varchar,1,[1-2],"1 Sí, 2 No"
P7_14A,7.14 ¿Qué redes sociales utiliza? Otras redes Especifique,Varchar,100,[A-Z], 
P7_15_1,"7.15 En los últimos tres meses, ¿ha utilizado Internet para… descargar software o aplicaciones?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_15_2,"7.15 En los últimos tres meses, ¿ha utilizado Internet para… utilizar servicios en la nube (Dropbox, hosting o alojamiento de paga o gratuitos)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_16_1,7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet... infección por virus?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_16_2,7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet... exceso de información no deseada?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_16_3,7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet... interrupciones en el servicio?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_16_4,7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet... lentitud en la transferencia de la información?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_16_5,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet... fraudes con información (financiera, personal, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_16_6,7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet... violación a la privacidad?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_16_7,7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet... mensajes de personas desconocidas?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_16_8,7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet... Otro problema?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_16A,7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet... Otro problema? Especifique,Varchar,100,[A-Z], 
P7_17,"7.17 En los últimos 12 meses, ¿ha realizado ventas por Internet?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_18,7.18 Generalmente ¿con qué frecuencia realiza ventas por Internet?,Varchar,1,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada  quince días, 4 Una vez al mes, 5 Al menos una vez cada seis meses, 6 Al menos una vez al año"
P7_19,"7.19 En los últimos 12 meses, ¿ha realizado compras por Internet? (Excluya compras por motivo de trabajo e incluya las realizadas por su negocio)",Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_1,7.20 ¿Por qué no ha realizado compras por Internet? Prefiere comprar en persona,Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_2,7.20 ¿Por qué no ha realizado compras por Internet? No le interesa o no lo necesita,Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_3,7.20 ¿Por qué no ha realizado compras por Internet? Por falta de recursos económicos,Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_4,7.20 ¿Por qué no ha realizado compras por Internet? Desconfía de la calidad del producto que recibirá,Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_5,"7.20 ¿Por qué no ha realizado compras por Internet? Desconfía de la seguridad del proceso de compra (privacidad de los datos, robo de identidad o de datos de tarjetas)",Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_6,"7.20 ¿Por qué no ha realizado compras por Internet? No cuenta con la tarjeta de crédito, débito o servicios de Banca en línea",Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_7,7.20 ¿Por qué no ha realizado compras por Internet? No sabe como hacerlo,Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_8,7.20 ¿Por qué no ha realizado compras por Internet? No le permiten realizarlo,Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_9,7.20 ¿Por qué no ha realizado compras por Internet? No se considera con la edad suficiente para hacerlo,Varchar,1,[1-2],"1 Sí, 2 No"
P7_20_10,7.20 ¿Por qué no ha realizado compras por Internet? Otra razón,Varchar,1,[1-2],"1 Sí, 2 No"
P7_20A,7.20 ¿Por qué no ha realizado compras por Internet?Otra razón Especifique,Varchar,100,[A-Z], 
P7_21,"7.21 Por lo general, ¿con que frecuencia realiza compras por Internet?",Varchar,1,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada  quince días, 4 Una vez al mes, 5 Al menos una vez cada seis meses, 6 Al menos una vez al año"
P7_22_1,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… libros (incluye libros electrónicos)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_2,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… música y videos?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_3,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… computadoras, laptops o tablets?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_4,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… celulares o accesorios?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_5,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… programas y/o aplicaciones (software)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_6,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… alimentos y bebidas?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_7,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… entradas o reservaciones de eventos de entretenimiento (deporte, teatro, conciertos)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_8,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… productos de viaje?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_9,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… aparatos electrónicos?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_10,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… productos de higiene personal, belleza y cosméticos?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_11,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… artículos de uso personal, incluyendo ropa y accesorios?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_12,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… artículos para el hogar?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_13,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… vehículos o refacciones?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_14,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… productos financieros (acciones, seguros y planes de ahorro)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_15,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… consolas de videojuegos y juegos?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_16,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… artículos de salud (medicinas, aparatos ortopédicos, instrumentos médicos, etc.)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_17,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… equipo fotográfico, de telecomunicaciones o equipos ópticos?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_18,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… servicio de transporte por plataforma (Uber, DiDi, etc.)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22_19,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… Otro producto?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_22A,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… Otro producto Especifique",Varchar,100,[A-Z], 
P7_23,7.23 ¿El sitio de Internet donde ha realizado las compras es…,Varchar,1,"[1-3],9","1 nacional?, 2 extranjero?, 3 ambos?, 9 No sabe"
P7_24_1,7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet? Entrega directa al comprador mediante servicio de paquetería,Varchar,1,[1-2],"1 Sí, 2 No"
P7_24_2,7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet? Entrega directa del vendedor al comprador,Varchar,1,[1-2],"1 Sí, 2 No"
P7_24_3,7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet? Entrega en el punto de venta o distribución,Varchar,1,[1-2],"1 Sí, 2 No"
P7_24_4,"7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet? Entrega en línea mediante descargas (aplicaciones, música, película, libros, servicios, etc.)",Varchar,1,[1-2],"1 Sí, 2 No"
P7_24_5,7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet? Otro medio,Varchar,1,[1-2],"1 Sí, 2 No"
P7_24A,7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet? Otro medio Especifique,Varchar,100,[A-Z], 
P7_25,"7.25 En los últimos 12 meses, ¿tuvo algún problema al realizar las compras?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_26_1,7.26 ¿El problema que tuvo fue… relacionado con la entrega?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_26_2,7.26 ¿El problema que tuvo fue… con la seguridad del pago?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_26_3,7.26 ¿El problema que tuvo fue con… la seguridad de los datos personales?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_26_4,7.26 ¿El problema que tuvo fue con… relacionado con la calidad del producto?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_26_5,7.26 ¿El problema que tuvo fue con… relacionado con el estado del producto?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_26_6,7.26 ¿El problema que tuvo fue… Otro Problema?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_26A,7.26 ¿El problema que tuvo fue… Otro problema Especifique,Varchar,100,[A-Z], 
P7_27,"7.27 En los últimos 12 meses, ¿ha realizado pagos por Internet, ya sea por compras o algún servicio?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_28,7.28 ¿Por qué no ha realizado pagos por Internet?,Varchar,1,[1-8],"1 Prefiere realizarlo en persona, 2 No le interesa o no lo necesita, 3 Desconfía de la seguridad del proceso de pago (privacidad de los datos, robo de identidad de los datos de la tarjeta), 4 No cuenta con tarjeta de crédito, débito o servicios de Banca en línea, 5 No sabe hacerlo, 6 No le permiten realizarlo, 7 No se considera con la edad suficiente para hacerlo, 8 Otra razón"
P7_28A,7.28 ¿Por qué no ha realizado pagos por Internet? Otra razón Especifique,Varchar,100,[A-Z], 
P7_29,7.29 Generalmente ¿con qué frecuencia ha realizado pagos por Internet?,Varchar,1,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada quince días, 4 Una vez al mes, 5 Al menos una vez cada seis meses, 6 Al menos una vez al año"
P7_30_1,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por… servicios bancarios o financieros?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_30_2,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por… servicios o trámites de gobierno?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_30_3,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por… servicios educativos?",Varchar,1,[1-2],"1 Sí, 2 No"
